code,name,ticker
002115,三维通信,002115.sz
002116,中国海诚,002116.sz
002117,东港股份,002117.sz
002119,康强电子,002119.sz
002120,韵达股份,002120.sz
002121,科陆电子,002121.sz
002122,汇洲智能,002122.sz
002123,梦网科技,002123.sz
002124,ST天邦,002124.sz
002125,湘潭电化,002125.sz
002126,银轮股份,002126.sz
002127,南极电商,002127.sz
002128,电投能源,002128.sz
002129,TCL中环,002129.sz
002130,沃尔核材,002130.sz
002131,利欧股份,002131.sz
002132,恒星科技,002132.sz
002133,广宇集团,002133.sz
002134,天津普林,002134.sz
002135,东南网架,002135.sz
002136,安 纳 达,002136.sz
002137,实益达,002137.sz
002138,顺络电子,002138.sz
002139,拓邦股份,002139.sz
002140,东华科技,002140.sz
002141,*ST贤丰,002141.sz
002142,宁波银行,002142.sz
002144,宏达高科,002144.sz
002145,中核钛白,002145.sz
002146,荣盛发展,002146.sz
002148,北纬科技,002148.sz
002149,西部材料,002149.sz
002150,通润装备,002150.sz
002151,北斗星通,002151.sz
002152,广电运通,002152.sz
002153,石基信息,002153.sz
002154,报 喜 鸟,002154.sz
002155,湖南黄金,002155.sz
002156,通富微电,002156.sz
002157,正邦科技,002157.sz
002158,汉钟精机,002158.sz
002159,三特索道,002159.sz
002160,常铝股份,002160.sz
002161,远 望 谷,002161.sz
002162,悦心健康,002162.sz
002163,海南发展,002163.sz
002164,宁波东力,002164.sz
002165,红 宝 丽,002165.sz
002166,莱茵生物,002166.sz
002167,东方锆业,002167.sz
002168,ST惠程,002168.sz
002169,智光电气,002169.sz
002170,芭田股份,002170.sz
002171,楚江新材,002171.sz
002172,澳洋健康,002172.sz
002173,创新医疗,002173.sz
002174,游族网络,002174.sz
002175,东方智造,002175.sz
002176,江特电机,002176.sz
002177,御银股份,002177.sz
002178,延华智能,002178.sz
002179,中航光电,002179.sz
002180,纳思达,002180.sz
002181,粤 传 媒,002181.sz
002182,宝武镁业,002182.sz
002183,怡 亚 通,002183.sz
002184,海得控制,002184.sz
002185,华天科技,002185.sz
002186,全 聚 德,002186.sz
002187,广百股份,002187.sz
002188,中天服务,002188.sz
002189,中光学,002189.sz
002190,成飞集成,002190.sz
002191,劲嘉股份,002191.sz
002192,融捷股份,002192.sz
002193,如意集团,002193.sz
002194,武汉凡谷,002194.sz
002195,岩山科技,002195.sz
002196,方正电机,002196.sz
002197,ST证通,002197.sz
002198,嘉应制药,002198.sz
002199,东晶电子,002199.sz
002200,ST交投,002200.sz
002201,正威新材,002201.sz
002202,金风科技,002202.sz
002203,海亮股份,002203.sz
002204,大连重工,002204.sz
002205,国统股份,002205.sz
002206,海 利 得,002206.sz
002207,准油股份,002207.sz
002208,合肥城建,002208.sz
002209,达 意 隆,002209.sz
002210,飞马国际,002210.sz
002211,宏达新材,002211.sz
002212,天融信,002212.sz
002213,大为股份,002213.sz
002214,大立科技,002214.sz
002215,诺 普 信,002215.sz
002216,三全食品,002216.sz
002217,*ST合泰,002217.sz
002218,拓日新能,002218.sz
002219,新里程,002219.sz
002221,东华能源,002221.sz
002222,福晶科技,002222.sz
002223,鱼跃医疗,002223.sz
002224,三 力 士,002224.sz
002225,濮耐股份,002225.sz
002226,江南化工,002226.sz
002227,奥 特 迅,002227.sz
002228,合兴包装,002228.sz
002229,鸿博股份,002229.sz
002230,科大讯飞,002230.sz
002231,奥维通信,002231.sz
002232,启明信息,002232.sz
002233,塔牌集团,002233.sz
002234,民和股份,002234.sz
002235,安妮股份,002235.sz
002236,大华股份,002236.sz
002237,恒邦股份,002237.sz
002238,天威视讯,002238.sz
002239,奥特佳,002239.sz
002240,盛新锂能,002240.sz
002241,歌尔股份,002241.sz
002242,九阳股份,002242.sz
002243,力合科创,002243.sz
002244,滨江集团,002244.sz
002245,蔚蓝锂芯,002245.sz
002246,北化股份,002246.sz
002247,聚力文化,002247.sz
002248,华东数控,002248.sz
002249,大洋电机,002249.sz
002250,联化科技,002250.sz
002251,ST步步高,002251.sz
002252,上海莱士,002252.sz
002253,川大智胜,002253.sz
002254,泰和新材,002254.sz
002255,海陆重工,002255.sz
002256,兆新股份,002256.sz
002258,利尔化学,002258.sz
002259,ST升达,002259.sz
002261,拓维信息,002261.sz
002262,恩华药业,002262.sz
002263,大东南,002263.sz
002264,新 华 都,002264.sz
002265,建设工业,002265.sz
002266,浙富控股,002266.sz
002267,陕天然气,002267.sz
002268,电科网安,002268.sz
002269,美邦服饰,002269.sz
002270,华明装备,002270.sz
002271,东方雨虹,002271.sz
002272,川润股份,002272.sz
